LocationDesc,LocationAbbr,DataValueUnit,2013,2014,2016,2017,2018,2019
Alabama,AL,pack sales per capita,64.6,61.7,60.1,58.1,54.7,53.1
Alaska,AK,pack sales per capita,39,37.2,35.6,32.9,31.1,30.4
Arizona,AZ,pack sales per capita,24.4,23,23.1,22.5,21.8,20.7
Arkansas,AR,pack sales per capita,57.5,54.4,54.2,52.4,50.2,47.6
California,CA,pack sales per capita,23.9,22.7,22,20.5,16.6,15.8
Colorado,CO,pack sales per capita,38.3,36.7,35.8,34.5,32.1,30.4
Connecticut,CT,pack sales per capita,31.4,30.1,28.3,26.5,23.8,21.9
Delaware,DE,pack sales per capita,77.1,71.2,68.1,72.6,64.2,56.9
District of Columbia,DC,pack sales per capita,18.6,16.2,14.8,13.2,12.9,9.1
Florida,FL,pack sales per capita,44.3,42.4,41.5,40.6,38.4,36.2
Georgia,GA,pack sales per capita,49.9,49,47.3,45.6,45.7,43.3
Hawaii,HI,pack sales per capita,27,25.4,25.4,25.1,24.2,22.5
Idaho,ID,pack sales per capita,43.1,40.8,40.7,39,37.7,35.8
Illinois,IL,pack sales per capita,31.7,33.6,31.5,30.7,28.3,29.3
Indiana,IN,pack sales per capita,66.9,63.6,62.4,61.2,58.3,56.5
Iowa,IA,pack sales per capita,48.5,47.1,47.7,45,43,41.6
Kansas,KS,pack sales per capita,41,39.5,36.4,34.5,33.3,31.1
Kentucky,KY,pack sales per capita,93.5,89,87,85.6,81.6,73.3
Louisiana,LA,pack sales per capita,73.3,65.1,55.9,57.6,53.6,50.8
Maine,ME,pack sales per capita,48.5,47.4,48.9,49.6,45.4,42.6
Maryland,MD,pack sales per capita,32.6,31.6,30.4,29.2,27.6,26.4
Massachusetts,MA,pack sales per capita,32.2,27.1,25.6,24.3,23,21.3
Michigan,MI,pack sales per capita,45.4,44.5,44.9,44.4,42.5,41.3
Minnesota,MN,pack sales per capita,43.1,31.4,29.8,28.3,26.2,24.6
Mississippi,MS,pack sales per capita,63.9,61.2,59.2,59.4,56.3,53.8
Missouri,MO,pack sales per capita,87.4,82.6,83.4,79.5,75.3,72.2
Montana,MT,pack sales per capita,44.3,43,42.2,41.1,37.2,36.4
Nebraska,NE,pack sales per capita,51.2,47.3,46.3,43.4,43.4,40.6
Nevada,NV,pack sales per capita,43.2,41.6,30.9,36.3,31.6,32
New Hampshire,NH,pack sales per capita,89.6,90.6,91.5,87.3,83.4,78.4
New Jersey,NJ,pack sales per capita,30.6,29.3,28.1,27.3,25.8,24.1
New Mexico,NM,pack sales per capita,26.4,24.6,24.6,24,23.6,22.6
New York,NY,pack sales per capita,16.6,15.4,14,13.3,12.5,11.7
North Carolina,NC,pack sales per capita,57.5,56.7,54.4,54.5,53.2,51.6
North Dakota,ND,pack sales per capita,72.5,75.8,70.2,65.2,62.8,59.9
Ohio,OH,pack sales per capita,54.6,53.3,50.8,50.1,47.6,45.7
Oklahoma,OK,pack sales per capita,67.2,64.3,61.2,60.5,58.1,42.8
Oregon,OR,pack sales per capita,43.3,41.4,40,38.3,37.2,35
Pennsylvania,PA,pack sales per capita,52.8,50.8,48.2,40.5,37.8,35.7
Rhode Island,RI,pack sales per capita,35.3,36.7,35.2,34.2,31.4,29.1
South Carolina,SC,pack sales per capita,62,58.9,57.3,55.5,53.1,52.6
South Dakota,SD,pack sales per capita,42.7,42.3,44.6,41.6,40.2,35
Tennessee,TN,pack sales per capita,66.2,62.6,61.6,59.2,56,55.5
Texas,TX,pack sales per capita,36.2,33.7,32.8,31.9,29.1,28.8
Utah,UT,pack sales per capita,21.4,19.5,18.5,18.4,17.1,15.9
Vermont,VT,pack sales per capita,42.1,40.4,37.4,36.3,32.8,31.5
Virginia,VA,pack sales per capita,69.4,67,63.6,60.8,55.7,51.6
Washington,WA,pack sales per capita,19.5,18.6,18,17,16.1,15
West Virginia,WV,pack sales per capita,103.1,97.4,95.5,82.2,75.7,75
Wisconsin,WI,pack sales per capita,39.8,39.9,39.7,39,37.2,35.4
Wyoming,WY,pack sales per capita,60.8,56.4,54.6,52.4,50.4,49.4
